Date;Isolation;Muscu;Stretching;warmup;Chorée;Temps;Chorée_1;Temps_2;Chorée_3;Temps_4;Style;Temps_5;Style_6;Temps_7;Autre;Chorée_8;Temps_9;Chorée_10;Temps_11;Abdos;Gainage;Jambes;Bras;All;Escalade;Waacking;running_temps;running_km;Pleurs;Raisons;Column1;_12;Règles;SPM;Durée;Détails;Mood;Journaling;Stretching2;Danse;Sport;Lecture;Album;Film;Rangement;Culture;Art;Skincare;Compétence;Split stretching;Muscu3
24/03/2024;FAUX;FAUX;VRAI;;Itzy - Break my heart;18;;;;;;;;;;;;;;;;;;;;;;;1;Livre;;;VRAI;FAUX;1sec;;1;0;1;1;0;1;0;0;;0;1;1;0;1;0
25/03/2024;FAUX;FAUX;FAUX;;SKZ - Thunderous;50;;;;;;;;;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;4;0;1;1;0;1;0;0;;0;0;0;0;;0
26/03/2024;FAUX;FAUX;VRAI;;SKZ - Thunderous;10;Ariana - God;18;;;Waacking;5;;;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;2;0;1;1;0;1;0;0;;0;1;1;1;1;0
27/03/2024;FAUX;FAUX;VRAI;;SKZ - Thunderous;11;Ariana - God;11;Chungha - Eenie Meenie;8;Waacking;5;;;;;;;;;;;;;;;;;1;Ma propre imagination ???;Solitude;;FAUX;FAUX;1sec;;2;0;1;1;0;0;0;0;;0;0;1;1;1;0
28/03/2024;FAUX;FAUX;VRAI;;Chungha - Eenie Meenie;16;Ariana - God;15;SKZ - Thunderous;16;Waacking;5;;;16;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;3;0;1;1;0;0;0;0;0;0;1;1;1;1;0
29/03/2024;FAUX;FAUX;FAUX;;SKZ - Thunderous;53;Chungha - Eenie Meenie;12;Ariana - God;12;Waacking;5;;;3;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;2;0;1;1;0;1;0;0;;0;0;1;0;1;0
30/03/2024;FAUX;FAUX;FAUX;;SKZ - Thunderous;15;Ariana - God;10;Chungha - Eenie Meenie;8;;;;;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;1;0;1;1;0;0;0;0;;0;0;1;0;;0
31/03/2024;FAUX;FAUX;FAUX;;Chungha - Eenie Meenie;7;Ariana - God;8;SKZ - Thunderous;24;;;;;;;;;;;;;;;;;;;1;Film/vidéo;;;FAUX;FAUX;Quelques minutes;;2;0;1;1;0;0;0;0;;0;1;1;0;;0
01/04/2024;FAUX;VRAI;VRAI;;Chungha - Eenie Meenie;14;SKZ - Thunderous;41;Ariana - God;16;;;;;20;GIDLE - Nxde;14;;;;;;;;;;;;;;;;FAUX;FAUX;;;2;1;1;1;0;1;0;0;;0;1;;;1;1
02/04/2024;FAUX;VRAI;VRAI;;GIDLE - Nxde;21;SKZ - Thunderous;14;;;;;;;22;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;2;0;1;1;0;0;0;0;;0;1;;;1;1
03/04/2024;FAUX;VRAI;VRAI;;GIDLE - Nxde;16;Ava Max;15;SKZ - Thunderous;9;;;;;25;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;2;0;1;1;0;0;0;0;;0;0;;;1;1
04/04/2024;FAUX;VRAI;FAUX;;GIDLE - Nxde;29;SKZ - Thunderous;10;Ava Max;15;;;;;8;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;3;0;1;1;0;0;0;0;;0;0;;;;1
05/04/2024;VRAI;FAUX;VRAI;;Ava Max;18;SKZ - Thunderous;24;GIDLE - Nxde;27;;;;;17;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;2;0;1;1;0;0;0;0;0;0;0;;;1;
06/04/2024;FAUX;VRAI;VRAI;;GIDLE - Nxde;43;Ava Max;10;SKZ - Thunderous;9;;;;;13;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;2;1;1;1;0;0;0;0;;0;0;;;1;1
07/04/2024;FAUX;VRAI;FAUX;;Ava Max;11;GIDLE - Nxde;15;SKZ - Thunderous;7;;;;;8;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;1;0;1;1;0;0;0;0;;0;0;;;;1
08/04/2024;FAUX;FAUX;FAUX;;Ava Max;11;GIDLE - Nxde;7;SKZ - Thunderous;11;;;;;120;;;;;;;;;;;;;;3;Angoisse;Film/vidéo;Solitude;FAUX;FAUX;;j'ai remarqué une boule cheloue;5;1;1;1;0;0;0;0;;0;0;;;;
09/04/2024;FAUX;VRAI;VRAI;;Ava Max;7;GIDLE - Nxde;10;SKZ - Thunderous;4;Hiphop;8;;;19;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;3;0;1;1;0;0;0;0;;0;0;;;1;1
10/04/2024;FAUX;VRAI;VRAI;;SKZ - LALALALA;20;GIDLE - Nxde;9;SKZ - Thunderous;7;;;;;15;Ava Max;10;;;;;;;;;;;;;;;;FAUX;FAUX;;;2;1;1;1;0;0;0;0;0;0;1;;;1;1
11/04/2024;FAUX;FAUX;FAUX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;1;0;1;0;0;0;0;0;;0;1;;;;0
12/04/2024;VRAI;VRAI;FAUX;;GIDLE - Nxde;33;SKZ - Thunderous;26;SKZ - LALALALA;20;Waacking;5;;;21;;;;;;;;;;;;;;1;Film/vidéo;;;FAUX;FAUX;moins d'une minute;;1;1;1;1;0;0;0;0;;0;0;;;0;1
13/04/2024;VRAI;VRAI;VRAI;;GIDLE - Nxde;36;SKZ - Thunderous;30;SKZ - LALALALA;9;;;;;28;KDA - DUM;10;;;;;;;;;;;;;;;;FAUX;FAUX;;;2;1;1;1;0;1;0;0;;0;0;;;1;1
14/04/2024;FAUX;VRAI;VRAI;;KDA - DUM;11;;;;;;;;;22;;;;;;;;;;;;;;1;Film/vidéo;;;FAUX;FAUX;;;1;0;1;1;0;1;0;0;0;0;0;;;1;1
15/04/2024;FAUX;FAUX;FAUX;;KDA - DUM;2;Ava Max;2;KIOF - Midas Touch;29;;;;;120;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;2;0;1;1;0;1;0;0;;0;0;;;;
16/04/2024;FAUX;VRAI;VRAI;;KIOF - Midas Touch;15;Ava Max;13;KDA - DUM;15;;;;;20;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;2;0;1;1;0;0;0;0;;0;0;;;1;1
17/04/2024;FAUX;FAUX;FAUX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;1;1;1;1;0;0;0;0;;0;0;;;;0
18/04/2024;FAUX;VRAI;FAUX;;KDA - DUM;17;Ava Max;25;KIOF - Midas Touch;11;;;;;11;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;3;0;1;1;0;0;0;0;;0;1;;;0;1
19/04/2024;FAUX;VRAI;FAUX;;KIOF - Midas Touch;7;KDA - DUM;5;Ava Max;9;;;;;47;;;;;;;;;;;;;;1;Film/vidéo;;;VRAI;FAUX;;;2;0;1;1;0;0;0;0;;0;0;;;0;1
